Date,Category,Likes,Shares,Reposts,Comments
2015-01-17,Health,7354,343,108,8973
2015-01-17,Health,6810,752,32,876
2015-01-17,Fashion,7101,302,47,1893
2015-01-17,Fitness,1449,161,182,3727
2015-01-17,Music,7021,434,155,2474
2015-01-17,Health,2695,114,106,804
2015-01-17,Fitness,2740,206,24,6896
2015-01-17,Fitness,3961,104,158,133
2015-01-17,Health,5852,862,42,9754
2015-01-17,Fashion,5508,595,87,8951
2015-01-17,Food,7997,884,44,3647
2015-01-17,Fashion,4941,558,154,2417
2015-01-17,Music,105,187,181,4566
2015-01-17,Health,4921,464,40,4996
2015-01-17,Fashion,512,517,60,1599
2015-01-17,Fashion,3964,424,119,5588
2015-01-17,Culture,7011,210,65,5863
2015-01-17,Travel,7079,79,89,5328
2015-01-17,Family,5606,480,5,5562
2015-01-17,Fitness,9984,641,134,8587
2015-01-17,Fitness,7132,988,105,7739
2015-01-17,Fashion,1018,279,90,2755
2015-01-17,Fashion,4719,210,81,3998
2015-01-17,Music,8950,23,132,5840
2015-01-17,Health,5634,931,75,5081
2015-01-17,Fashion,2489,52,126,26
2015-01-17,Travel,3960,421,66,3957
2015-01-18,Music,5128,37,129,7419
2015-01-18,Travel,4944,571,85,1352
2015-01-18,Fashion,4555,87,118,2918
2015-01-18,Health,7013,144,55,3710
2015-01-18,Culture,5163,414,80,8119
2015-01-18,Food,5150,897,77,7775
2015-01-18,Culture,6066,87,122,5046
2015-01-18,Fitness,8810,912,89,7573
2015-01-18,Music,6041,825,31,7575
2015-01-18,Food,898,838,69,5851
2015-01-18,Food,8747,965,168,9478
2015-01-18,Music,3346,108,69,2844
2015-01-18,Food,7197,764,157,2524
2015-01-18,Travel,5669,419,118,7543
2015-01-18,Culture,8620,263,52,9340
2015-01-18,Fashion,2284,164,167,18
2015-01-18,Travel,5616,91,56,226
2015-01-18,Culture,294,101,183,5125
2015-01-18,Health,6941,719,170,8483
2015-01-18,Music,3188,497,25,2985
2015-01-18,Fitness,2981,267,148,4239
2015-01-18,Travel,7265,966,63,3769
2015-01-18,Travel,8117,979,134,9688
2015-01-18,Travel,3877,192,127,5544
2015-01-18,Travel,3480,396,165,2944
2015-01-18,Health,8307,926,60,6169
2015-01-18,Fashion,4406,749,116,3711
2015-01-19,Fashion,8047,774,33,3953
2015-01-19,Food,9542,687,11,918
2015-01-19,Culture,106,814,37,5899
2015-01-19,Health,1217,11,89,8148
2015-01-19,Fitness,8051,998,112,6255
2015-01-19,Food,9112,153,97,5726
2015-01-19,Culture,8949,394,46,7860
2015-01-19,Family,9157,778,33,2336
2015-01-19,Fashion,201,880,52,5764
2015-01-19,Music,7923,483,174,9453
2015-01-19,Music,6860,676,88,694
2015-01-19,Family,4325,846,116,8287
2015-01-19,Music,134,790,71,4562
2015-01-19,Health,1036,570,151,6204
2015-01-19,Family,9766,902,104,4257
2015-01-19,Music,9919,552,101,1126
2015-01-19,Family,4437,805,27,4438
2015-01-19,Family,3400,424,15,93
2015-01-19,Fashion,167,12,135,3939
2015-01-19,Health,6009,995,189,197
2015-01-19,Fitness,7888,166,110,2164
2015-01-19,Travel,3781,708,96,8569
2015-01-19,Family,600,762,100,1814
2015-01-19,Culture,592,440,196,4602
2015-01-19,Fashion,3660,372,122,210
2015-01-19,Food,2561,936,165,6723
2015-01-19,Food,2661,439,127,7522
2015-01-19,Health,2115,698,142,4621
2015-01-20,Music,4598,406,80,3264
2015-01-20,Family,3379,365,104,1991
2015-01-20,Food,6746,64,108,2448
2015-01-20,Music,4710,267,127,6289
2015-01-20,Travel,7274,456,61,6639
2015-01-20,Family,8672,138,163,5390
2015-01-20,Culture,2800,423,86,6953
2015-01-20,Food,3526,87,195,3393
2015-01-20,Fitness,7537,402,88,4366
2015-01-20,Food,7461,43,130,5984
2015-01-20,Music,4800,108,127,824
2015-01-20,Fitness,4021,289,87,3280
2015-01-20,Travel,9084,419,152,9036
2015-01-20,Culture,9799,479,146,2521
2015-01-20,Fitness,208,47,168,4087
2015-01-20,Fitness,6236,260,198,2687
2015-01-20,Fashion,5986,729,52,3555
2015-01-20,Health,6820,972,0,8302
2015-01-20,Fashion,8346,450,124,4516
2015-01-20,Family,3294,437,115,2060
2015-01-20,Travel,6627,982,31,3580
2015-01-20,Travel,6707,564,171,8506
2015-01-20,Music,6543,462,140,2876
2015-01-20,Music,9351,331,104,7882
2015-01-20,Health,3329,809,16,3842
2015-01-20,Health,2563,917,84,9401
2015-01-20,Health,385,80,22,1497
2015-01-21,Family,7205,941,116,8002
2015-01-21,Music,4972,30,72,7016
2015-01-21,Family,7107,383,1,7143
2015-01-21,Music,543,384,123,6745
2015-01-21,Music,9219,746,80,3683
2015-01-21,Health,2970,705,134,6705
2015-01-21,Travel,2194,450,160,7224
2015-01-21,Family,4316,433,43,9801
2015-01-21,Family,1787,370,18,2633
2015-01-21,Culture,2396,226,23,4288
2015-01-21,Fitness,9946,494,86,680
2015-01-21,Fitness,6939,272,65,9432
2015-01-21,Music,4263,505,157,4740
2015-01-21,Fitness,2491,700,17,7768
2015-01-21,Fitness,5000,506,38,3795
2015-01-21,Health,5137,361,79,2298
2015-01-21,Travel,5853,199,95,2539
2015-01-21,Travel,3095,870,93,6793
2015-01-21,Health,5716,495,40,8598
2015-01-21,Food,3732,82,123,8265
2015-01-21,Food,1934,861,189,9964
2015-01-21,Travel,9566,502,52,5406
2015-01-21,Travel,6154,181,193,6656
2015-01-21,Culture,172,117,102,9874
2015-01-21,Fashion,9402,187,13,7961
2015-01-21,Food,488,890,137,5501
2015-01-21,Fashion,5041,864,191,7347
2015-01-21,Culture,7524,154,146,4286
2015-01-22,Culture,5296,489,49,5236
2015-01-22,Culture,6996,606,23,6640
2015-01-22,Fitness,4408,880,13,7968
2015-01-22,Food,5028,688,7,1542
2015-01-22,Family,6383,459,105,4075
2015-01-22,Fitness,2611,986,140,4533
2015-01-22,Culture,4884,854,198,4809
2015-01-22,Fitness,1946,306,18,9858
2015-01-22,Fitness,1204,95,35,9732
2015-01-22,Music,3162,456,94,9730
2015-01-22,Culture,6460,928,119,1345
2015-01-22,Fitness,5501,283,151,6283
2015-01-22,Culture,8731,970,107,150
2015-01-22,Health,8215,792,53,7054
2015-01-22,Family,7218,43,165,6736
2015-01-22,Music,3237,131,129,2751
2015-01-22,Culture,5082,966,131,9758
2015-01-22,Food,6901,853,137,5401
2015-01-22,Culture,7796,83,28,3513
2015-01-22,Travel,6771,274,154,2346
2015-01-22,Health,3708,565,152,3385
2015-01-22,Culture,8532,291,7,6894
2015-01-22,Family,9273,679,135,5636
2015-01-22,Fitness,9431,599,13,5851
2015-01-22,Family,1706,965,7,6036
2015-01-22,Travel,3114,287,61,9558
2015-01-22,Culture,5995,817,72,7252
2015-01-23,Music,4953,122,161,6320
2015-01-23,Family,1768,63,184,2410
2015-01-23,Health,9253,183,99,9986
2015-01-23,Family,4858,668,43,3836
2015-01-23,Culture,5038,513,169,8477
2015-01-23,Travel,4910,575,80,118
2015-01-23,Music,8394,625,124,0
2015-01-23,Fitness,1223,714,33,477
2015-01-23,Fitness,1642,176,158,955
2015-01-23,Culture,415,203,109,3320
2015-01-23,Fitness,9635,152,7,4633
2015-01-23,Music,8103,237,106,5045
2015-01-23,Fitness,9645,256,5,8386
2015-01-23,Health,4006,115,120,2507
2015-01-23,Health,9433,858,36,2265
2015-01-23,Family,6036,197,9,8564
2015-01-23,Travel,3109,703,176,1107
2015-01-23,Music,4624,421,100,2280
2015-01-23,Travel,6485,656,175,5918
2015-01-23,Fashion,8848,749,53,7913
2015-01-23,Culture,1769,992,74,5880
2015-01-23,Travel,6561,34,59,6712
2015-01-23,Travel,8099,458,105,3183
2015-01-23,Fashion,6141,320,4,2767
2015-01-23,Travel,5522,702,105,7563
2015-01-23,Fitness,7115,725,9,4590
2015-01-23,Culture,2181,480,2,5167
2015-01-24,Culture,1931,962,195,3354
2015-01-24,Fitness,5765,271,188,9380
2015-01-24,Culture,3088,4,34,9660
2015-01-24,Health,3338,790,96,6404
2015-01-24,Fitness,6092,779,88,9565
2015-01-24,Travel,9916,81,134,4887
2015-01-24,Fashion,4150,321,171,1384
2015-01-24,Travel,9105,589,176,9830
2015-01-24,Culture,7241,448,60,7453
2015-01-24,Culture,6694,854,98,8403
2015-01-24,Food,1336,185,105,6880
2015-01-24,Food,4171,576,151,4834
2015-01-24,Travel,7083,128,153,7211
2015-01-24,Travel,230,157,174,3148
2015-01-24,Fitness,7567,43,28,2052
2015-01-24,Food,3761,559,88,861
2015-01-24,Fitness,5246,785,32,1004
2015-01-24,Music,7362,155,196,6577
2015-01-24,Culture,7501,980,86,4841
2015-01-24,Food,2770,542,36,681
2015-01-24,Culture,2712,856,72,1301
2015-01-24,Health,9163,775,43,7144
2015-01-24,Fitness,7847,366,178,8814
2015-01-24,Fitness,5759,62,160,8562
2015-01-24,Music,7521,82,182,3616
2015-01-24,Health,8871,748,78,7932
2015-01-24,Fashion,2838,204,29,8561
2015-01-24,Culture,9870,464,129,1848
2015-01-25,Health,2709,414,101,9126
2015-01-25,Fashion,6153,410,25,9216
2015-01-25,Culture,1823,370,98,3717
2015-01-25,Travel,9065,447,184,2717
2015-01-25,Food,8059,307,170,1272
2015-01-25,Fitness,5087,803,143,7157
2015-01-25,Fashion,9549,594,109,1275
2015-01-25,Food,507,855,138,8554
2015-01-25,Health,5541,669,57,5171
2015-01-25,Fitness,1456,899,63,9398
2015-01-25,Travel,8197,927,155,7432
2015-01-25,Fashion,5185,510,154,9596
2015-01-25,Travel,5951,999,79,5177
2015-01-25,Health,2349,786,1,640
2015-01-25,Health,1947,516,52,2711
2015-01-25,Family,5980,833,196,4551
2015-01-25,Family,7694,976,31,6561
2015-01-25,Culture,723,391,148,9868
2015-01-25,Food,4621,650,142,8770
2015-01-25,Family,6479,557,71,3753
